arm,unit,design,base,seed_index,n_mutations,stored_ipsae_min,ipsae_full,ipsae_no_mut,ipsae_interface
negsteer,design_18_seq_0,initial,initial,,0,0.0,0.0,0.0,0.0
negsteer,design_18_seq_0,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_18_seq_0,design_00_s2,design_00,2.0,6,0.8002,0.8002,0.8002,0.2201
negsteer,design_18_seq_0,design_00_s1,design_00,1.0,6,0.7609,0.7609,0.7502,0.1686
negsteer,design_18_seq_0,design_00_s0,design_00,0.0,6,0.641,0.641,0.641,0.099
negsteer,design_18_seq_0,design_02_s2,design_02,2.0,6,0.1603,0.1603,0.1603,0.0064
negsteer,design_18_seq_0,design_02_s1,design_02,1.0,6,0.1703,0.1703,0.1703,0.0067
negsteer,design_18_seq_0,design_01_s0,design_01,0.0,6,0.1651,0.1651,0.1651,0.0059
negsteer,design_18_seq_0,design_01_s1,design_01,1.0,6,0.171,0.171,0.171,0.006
negsteer,design_18_seq_0,design_01_s2,design_01,2.0,6,0.3039,0.3039,0.3023,0.0116
negsteer,design_21_seq_1,initial,initial,,0,0.0722,0.0722,0.0722,0.0036
negsteer,design_21_seq_1,design_00_s1,design_00,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_21_seq_1,design_02_s1,design_02,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_21_seq_1,design_00_s2,design_00,2.0,6,0.0,0.0,0.0,0.0
negsteer,design_21_seq_1,design_01_s0,design_01,0.0,6,0.229,0.229,0.2252,0.016
negsteer,design_21_seq_1,design_01_s1,design_01,1.0,6,0.1545,0.1545,0.1545,0.0059
negsteer,design_21_seq_1,design_01_s2,design_01,2.0,6,0.0999,0.0999,0.0999,0.0043
negsteer,design_21_seq_1,design_00_s0,design_00,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_21_seq_1,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_21_seq_1,design_02_s2,design_02,2.0,6,0.2183,0.2183,0.2183,0.0135
negsteer,design_26_seq_1,initial,initial,,0,0.0,0.0,0.0,0.0
negsteer,design_26_seq_1,design_01_s2,design_01,2.0,3,0.6823,0.6823,0.6761,0.1068
negsteer,design_26_seq_1,design_02_s0,design_02,0.0,3,0.6097,0.6097,0.6005,0.1023
negsteer,design_26_seq_1,design_01_s0,design_01,0.0,3,0.6063,0.6063,0.5997,0.0767
negsteer,design_26_seq_1,design_02_s1,design_02,1.0,3,0.7359,0.7359,0.7277,0.1577
negsteer,design_26_seq_1,design_01_s1,design_01,1.0,3,0.7864,0.7864,0.7826,0.1885
negsteer,design_26_seq_1,design_02_s2,design_02,2.0,3,0.7925,0.7925,0.7847,0.1978
negsteer,design_26_seq_1,design_00_s1,design_00,1.0,3,0.0,0.0,0.0,0.0
negsteer,design_26_seq_1,design_00_s0,design_00,0.0,3,0.0,0.0,0.0,0.0
negsteer,design_26_seq_1,design_00_s2,design_00,2.0,3,0.0,0.0,0.0,0.0
negsteer,design_29_seq_0,initial,initial,0.0,0,0.1621,0.1621,0.1621,0.0067
negsteer,design_29_seq_0,initial_s1,initial,1.0,0,0.0516,0.0516,0.0516,0.0037
negsteer,design_29_seq_0,initial_s2,initial,2.0,0,0.1319,0.1319,0.1319,0.0052
negsteer,design_29_seq_1,initial,initial,,0,0.2809,0.2809,0.2809,0.0106
negsteer,design_29_seq_1,design_00_s1,design_00,1.0,3,0.7158,0.7158,0.7158,0.0906
negsteer,design_29_seq_1,design_00_s2,design_00,2.0,3,0.7917,0.7917,0.7834,0.1534
negsteer,design_29_seq_1,design_00_s0,design_00,0.0,3,0.6183,0.6183,0.6183,0.0607
negsteer,design_29_seq_1,design_01_s2,design_01,2.0,3,0.1329,0.1329,0.1329,0.006
negsteer,design_29_seq_1,design_01_s0,design_01,0.0,3,0.1482,0.1482,0.1482,0.0063
negsteer,design_29_seq_1,design_01_s1,design_01,1.0,3,0.0903,0.0903,0.0903,0.0047
negsteer,design_29_seq_1,design_02_s1,design_02,1.0,3,0.2874,0.2874,0.2874,0.0109
negsteer,design_29_seq_1,design_02_s0,design_02,0.0,3,0.1358,0.1358,0.1358,0.005
negsteer,design_29_seq_1,design_02_s2,design_02,2.0,3,0.2279,0.2279,0.2279,0.0097
negsteer,design_2_seq_0,initial,initial,0.0,0,0.2647,0.2647,0.2647,0.0178
negsteer,design_2_seq_0,initial_s2,initial,2.0,0,0.3262,0.3262,0.3262,0.0219
negsteer,design_2_seq_0,initial_s1,initial,1.0,0,0.3187,0.3187,0.3187,0.0227
negsteer,design_31_seq_0,initial,initial,,0,0.1323,0.1323,0.1323,0.0049
negsteer,design_31_seq_0,design_00_s2,design_00,2.0,6,0.0033,0.0033,0.0033,0.0032
negsteer,design_31_seq_0,design_01_s2,design_01,2.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_0,design_02_s2,design_02,2.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_0,design_01_s0,design_01,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_0,design_00_s1,design_00,1.0,6,0.0221,0.0221,0.0205,0.0036
negsteer,design_31_seq_0,design_01_s1,design_01,1.0,6,0.0026,0.0026,0.0026,0.0026
negsteer,design_31_seq_0,design_02_s1,design_02,1.0,6,0.0026,0.0026,0.0026,0.0026
negsteer,design_31_seq_0,design_00_s0,design_00,0.0,6,0.0486,0.0486,0.0423,0.0032
negsteer,design_31_seq_0,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_1,initial,initial,,0,0.1246,0.1246,0.1246,0.005
negsteer,design_31_seq_1,design_02_s1,design_02,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_1,design_00_s1,design_00,1.0,6,0.1002,0.1002,0.1002,0.0043
negsteer,design_31_seq_1,design_00_s2,design_00,2.0,6,0.128,0.128,0.128,0.005
negsteer,design_31_seq_1,design_01_s0,design_01,0.0,6,0.0027,0.0027,0.0027,0.0025
negsteer,design_31_seq_1,design_02_s2,design_02,2.0,6,0.1609,0.1609,0.1609,0.0065
negsteer,design_31_seq_1,design_02_s0,design_02,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_1,design_01_s1,design_01,1.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_1,design_01_s2,design_01,2.0,6,0.0,0.0,0.0,0.0
negsteer,design_31_seq_1,design_00_s0,design_00,0.0,6,0.0,0.0,0.0,0.0
negsteer,design_34_seq_0,initial,initial,,0,0.0561,0.0561,0.0561,0.0035
negsteer,design_34_seq_0,design_00_s1,design_00,1.0,3,0.323,0.323,0.323,0.0146
negsteer,design_34_seq_0,design_00_s0,design_00,0.0,3,0.6756,0.6756,0.6756,0.075
negsteer,design_34_seq_0,design_00_s2,design_00,2.0,3,0.7431,0.7431,0.7328,0.11
